datetime,athlete,distance,duration,gender,age_group,country,month,year,distance_2019,distance_2020
2019-01-01 00:00:00,0,0,0,F,18 - 34,United States,January,2019,0,
2019-01-08 00:00:00,0,0,0,F,18 - 34,United States,January,2019,0,
2019-01-15 00:00:00,0,0,0,F,18 - 34,United States,January,2019,0,
2019-01-22 00:00:00,0,0,0,F,18 - 34,United States,January,2019,0,
2019-01-29 00:00:00,0,0,0,F,18 - 34,United States,January,2019,0,
2019-02-05 00:00:00,0,0,0,F,18 - 34,United States,February,2019,0,
2019-02-12 00:00:00,0,0,0,F,18 - 34,United States,February,2019,0,
2019-02-19 00:00:00,0,0,0,F,18 - 34,United States,February,2019,0,
2019-02-26 00:00:00,0,0,0,F,18 - 34,United States,February,2019,0,
2019-03-05 00:00:00,0,0,0,F,18 - 34,United States,March,2019,0,
2019-03-12 00:00:00,0,0,0,F,18 - 34,United States,March,2019,0,
2019-03-19 00:00:00,0,0,0,F,18 - 34,United States,March,2019,0,
2019-03-26 00:00:00,0,0,0,F,18 - 34,United States,March,2019,0,
2019-04-02 00:00:00,0,0,0,F,18 - 34,United States,April,2019,0,
2019-04-09 00:00:00,0,0,0,F,18 - 34,United States,April,2019,0,
2019-04-16 00:00:00,0,0,0,F,18 - 34,United States,April,2019,0,
2019-04-23 00:00:00,0,0,0,F,18 - 34,United States,April,2019,0,
2019-04-30 00:00:00,0,0,0,F,18 - 34,United States,April,2019,0,
2019-05-07 00:00:00,0,0,0,F,18 - 34,United States,May,2019,0,
2019-05-14 00:00:00,0,0,0,F,18 - 34,United States,May,2019,0,
2019-05-21 00:00:00,0,0,0,F,18 - 34,United States,May,2019,0,
2019-05-28 00:00:00,0,4.63,28.083333333333332,F,18 - 34,United States,May,2019,4.63,
2019-06-04 00:00:00,0,4.83,35.35,F,18 - 34,United States,June,2019,4.83,
2019-06-11 00:00:00,0,10.19,61.93333333333334,F,18 - 34,United States,June,2019,10.19,
